EVENT,BOUT,Weight Division,Fighter 1,Fighter 2,Winning Fighter,Losing Fighter,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,Date,Fight Time (min)
UFC Fight Night,Israel Adesanya vs Nassourdine Imavov,Unknown,Israel Adesanya,Nassourdine Imavov,Nassourdine Imavov,Israel Adesanya,,,,5-round,,,"Feb 1, 2025",15
UFC 305,Israel Adesanya vs Dricus Du Plessis,Unknown,Israel Adesanya,Dricus Du Plessis,Dricus Du Plessis,Israel Adesanya,,,,5-round,,,"Aug 17, 2024",15
UFC 293,Israel Adesanya vs Sean Strickland,Unknown,Israel Adesanya,Sean Strickland,Sean Strickland,Israel Adesanya,,,,5-round,,,"Sep 9, 2023",15
UFC 287,Israel Adesanya vs Alex Pereira,Unknown,Israel Adesanya,Alex Pereira,Israel Adesanya,Alex Pereira,,,,5-round,,,"Apr 8, 2023",15
UFC 281,Israel Adesanya vs Alex Pereira,Unknown,Israel Adesanya,Alex Pereira,Alex Pereira,Israel Adesanya,,,,5-round,,,"Nov 12, 2022",15
UFC 276,Israel Adesanya vs Jared Cannonier,Unknown,Israel Adesanya,Jared Cannonier,Israel Adesanya,Jared Cannonier,,,,5-round,,,"Jul 2, 2022",15
UFC 271,Israel Adesanya vs Robert Whittaker,Unknown,Israel Adesanya,Robert Whittaker,Israel Adesanya,Robert Whittaker,,,,5-round,,,"Feb 12, 2022",15
UFC 263,Israel Adesanya vs Marvin Vettori,Unknown,Israel Adesanya,Marvin Vettori,Israel Adesanya,Marvin Vettori,,,,5-round,,,"Jun 12, 2021",15
UFC 259,Israel Adesanya vs Jan Blachowicz,Unknown,Israel Adesanya,Jan Blachowicz,Jan Blachowicz,Israel Adesanya,,,,5-round,,,"Mar 6, 2021",15
UFC 253,Israel Adesanya vs Paulo Costa,Unknown,Israel Adesanya,Paulo Costa,Israel Adesanya,Paulo Costa,,,,5-round,,,"Sep 26, 2020",15
UFC 248,Israel Adesanya vs Yoel Romero,Unknown,Israel Adesanya,Yoel Romero,Israel Adesanya,Yoel Romero,,,,5-round,,,"Mar 7, 2020",15
UFC 243,Israel Adesanya vs Robert Whittaker,Unknown,Israel Adesanya,Robert Whittaker,Israel Adesanya,Robert Whittaker,,,,5-round,,,"Oct 5, 2019",15
UFC 236,Israel Adesanya vs Kelvin Gastelum,Unknown,Israel Adesanya,Kelvin Gastelum,Israel Adesanya,Kelvin Gastelum,,,,5-round,,,"Apr 13, 2019",15
UFC 234,Israel Adesanya vs Anderson Silva,Unknown,Israel Adesanya,Anderson Silva,Israel Adesanya,Anderson Silva,,,,5-round,,,"Feb 9, 2019",15
UFC 230,Israel Adesanya vs Derek Brunson,Unknown,Israel Adesanya,Derek Brunson,Israel Adesanya,Derek Brunson,,,,5-round,,,"Nov 3, 2018",15
The Ultimate Fighter 27 Finale,Israel Adesanya vs Brad Tavares,Unknown,Israel Adesanya,Brad Tavares,Israel Adesanya,Brad Tavares,,,,5-round,,,"Jul 6, 2018",15
UFC Fight Night,Israel Adesanya vs Marvin Vettori,Unknown,Israel Adesanya,Marvin Vettori,Israel Adesanya,Marvin Vettori,,,,5-round,,,"Apr 14, 2018",15
UFC 221,Israel Adesanya vs Rob Wilkinson,Unknown,Israel Adesanya,Rob Wilkinson,Israel Adesanya,Rob Wilkinson,,,,5-round,,,"Feb 10, 2018",15
Hex Fight Series 12,Israel Adesanya vs Stuart Dare,Unknown,Israel Adesanya,Stuart Dare,Israel Adesanya,Stuart Dare,,,,5-round,,,"Nov 24, 2017",15
AFC 20,Israel Adesanya vs Melvin Guillard,Unknown,Israel Adesanya,Melvin Guillard,Israel Adesanya,Melvin Guillard,,,,5-round,,,"Jul 28, 2017",15
WLF,Israel Adesanya vs Murad Kuramagomedov,Unknown,Israel Adesanya,Murad Kuramagomedov,Israel Adesanya,Murad Kuramagomedov,,,,5-round,,,"May 28, 2016",15
Wu Lin Feng,Israel Adesanya vs Andrew Flores Smith,Unknown,Israel Adesanya,Andrew Flores Smith,Israel Adesanya,Andrew Flores Smith,,,,5-round,,,"May 7, 2016",15
WLF,Israel Adesanya vs Dibir Zagirov,Unknown,Israel Adesanya,Dibir Zagirov,Israel Adesanya,Dibir Zagirov,,,,5-round,,,"Mar 13, 2016",15
WLF,Israel Adesanya vs Vladimir Katykhin,Unknown,Israel Adesanya,Vladimir Katykhin,Israel Adesanya,Vladimir Katykhin,,,,5-round,,,"Jan 13, 2016",15
WLF,Israel Adesanya vs Gele Qing,Unknown,Israel Adesanya,Gele Qing,Israel Adesanya,Gele Qing,,,,5-round,,,"Sep 19, 2015",15
FPF,Israel Adesanya vs Maui Tuigamala,Unknown,Israel Adesanya,Maui Tuigamala,Israel Adesanya,Maui Tuigamala,,,,5-round,,,"Sep 5, 2015",15
WFC,Israel Adesanya vs Song Kenan,Unknown,Israel Adesanya,Song Kenan,Israel Adesanya,Song Kenan,,,,5-round,,,"Aug 8, 2015",15
Shuriken MMA,Israel Adesanya vs John Vake,Unknown,Israel Adesanya,John Vake,Israel Adesanya,John Vake,,,,5-round,,,"Jun 15, 2013",15
SFC 9,Israel Adesanya vs James Griffiths,Unknown,Israel Adesanya,James Griffiths,Israel Adesanya,James Griffiths,,,,5-round,,,"Mar 24, 2012",15
