Player,Date,Opponent,Event,Result,Stats Type,Striking-SSL,Striking-SSA,Striking-KD,Striking-%HEAD,Striking-%BODY,Striking-%LEG,Clinch-TDL,Clinch-TDA,Ground-SGBL,Ground-SGBA,Ground-ADHG
Robert Whittaker,"Jul 26, 2025",Reinier de Ridder,UFC Fight Night,L,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Oct 26, 2024",Khamzat Chimaev,UFC 308,L,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Jun 22, 2024",Ikram Aliskerov,UFC Fight Night,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Feb 17, 2024",Paulo Costa,UFC 298,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Jul 8, 2023",Dricus Du Plessis,UFC 290,L,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Sep 3, 2022",Marvin Vettori,UFC Fight Night,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Feb 12, 2022",Israel Adesanya,UFC 271,L,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Apr 17, 2021",Kelvin Gastelum,UFC Fight Night,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Oct 24, 2020",Jared Cannonier,UFC 254,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Jul 25, 2020",Darren Till,UFC Fight Night,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Oct 5, 2019",Israel Adesanya,UFC 243,L,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Jun 9, 2018",Yoel Romero,UFC 225,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Jul 8, 2017",Yoel Romero,UFC 213,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Apr 15, 2017",Jacare Souza,UFC Fight Night,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Nov 26, 2016",Derek Brunson,UFC Fight Night,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Apr 23, 2016",Rafael Natal,UFC 197,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Nov 14, 2015",Uriah Hall,UFC 193,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"May 9, 2015",Brad Tavares,UFC Fight Night,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Nov 7, 2014",Clint Hester,UFC Fight Night,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Jun 28, 2014",Mike Rhodes,UFC Fight Night,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Feb 22, 2014",Stephen Thompson,UFC 170,L,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Aug 28, 2013",Court McGee,UFC Fight Night,L,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"May 25, 2013",Colton Smith,UFC 160,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Dec 14, 2012",Bradley Scott,UFC on FX,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Dec 5, 2012",Xavier Lucas,The Ultimate Fighter,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"May 18, 2012",Jesse Juarez,CFC 21,L,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Mar 23, 2012",Shaun Spooner,SA,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Dec 9, 2011",Ian Bone,CFC 19,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Oct 30, 2011",Hoon Kim,LFC,L,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Aug 26, 2011",Corey Nelson,CFC 18,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Jun 3, 2011",Ben Alloway,CFC,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Oct 8, 2010",Nate Thomson,CFC,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Jun 5, 2010",Jay Cobain,CFC,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Mar 12, 2010",Nick Ariel,CFC 12,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Nov 20, 2009",Richard Walsh,CFC,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,"Mar 14, 2009",Chris Tallowin,XFC,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
